index,cik,ticker,name
270,29534,DG,DOLLAR GENERAL CORP
271,927628,COF,CAPITAL ONE FINANCIAL CORP
272,865752,MNST,Monster Beverage Corp
273,839923,VOD,VODAFONE GROUP PUBLIC LTD CO
274,1447011,BCMXY,Bank of Communications Co Ltd
275,1499620,TAL,TAL Education Group
276,1565025,ABEV,AMBEV S.A.
277,715153,HMC,HONDA MOTOR CO LTD
278,1524684,GLNCY,Glencore plc/ADR
279,1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
280,1690820,CVNA,CARVANA CO.
281,1222333,GLD,SPDR GOLD TRUST
282,1095595,CEO,CNOOC LTD
283,1744676,TME,Tencent Music Entertainment Group
284,319201,KLAC,KLA CORP
285,55785,KMB,KIMBERLY CLARK CORP
286,870016,JMHLY,JARDINE MATHESON HOLDINGS LTD \ /FI
287,1418135,KDP,Keurig Dr Pepper Inc.
288,16875,CP,CANADIAN PACIFIC RAILWAY LTD/CN
289,1129137,AMX,AMERICA MOVIL SAB DE CV/
290,1532383,VNJA,VANJIA CORP
291,1261333,DOCU,"DOCUSIGN, INC."
292,1048515,DANOY,GROUPE DANONE
293,1446598,DNZOY,Denso Corp
294,1506293,PINS,"PINTEREST, INC."
295,1099219,MET,METLIFE INC
296,1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
297,1330306,VWDRY,VESTAS WIND SYSTEMS A/S
298,1397187,LULU,lululemon athletica inc.
299,1816007,LU,Lufax Holding Ltd
300,717826,ERIC,ERICSSON LM TELEPHONE CO
301,37996,F,FORD MOTOR CO
302,1639825,PTON,"PELOTON INTERACTIVE, INC."
303,1393052,VEEV,VEEVA SYSTEMS INC
304,875045,BIIB,BIOGEN INC.
305,1097149,ALGN,ALIGN TECHNOLOGY INC
306,1805284,RKT,"Rocket Companies, Inc."
307,1116578,PUK,PRUDENTIAL PLC
308,355363,ITOCY,ITOCHU CORP
309,40533,GD,GENERAL DYNAMICS CORP
310,712515,EA,ELECTRONIC ARTS INC.
311,1058090,CMG,CHIPOTLE MEXICAN GRILL INC
312,1618921,WBA,"Walgreens Boots Alliance, Inc."
313,1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
314,1723690,BILI,Bilibili Inc.
315,874716,IDXX,IDEXX LABORATORIES INC /DE
316,1004315,NGG,NATIONAL GRID PLC
317,1418091,TWTR,"TWITTER, INC."
318,1766502,CHWY,"Chewy, Inc."
319,1075124,TRI,THOMSON REUTERS CORP /CAN/
320,16918,STZ,"CONSTELLATION BRANDS, INC."
321,1297996,DLR,"DIGITAL REALTY TRUST, INC."
322,1810806,U,Unity Software Inc.
323,1459580,ZIJMY,"Zijin Mining Group Co., Ltd./ADR"
324,1385157,TEL,TE Connectivity Ltd.
325,1109357,EXC,EXELON CORP
326,882835,ROP,ROPER TECHNOLOGIES INC
327,831259,FCX,FREEPORT-MCMORAN INC
328,1436793,KNYJY,Kone OYJ
329,1232384,TRP,TC ENERGY CORP
330,1393311,PSA,Public Storage
331,1637459,KHC,Kraft Heinz Co
332,883241,SNPS,SYNOPSYS INC
333,1065088,EBAY,EBAY INC
334,4904,AEP,AMERICAN ELECTRIC POWER CO INC
335,756894,GOLD,BARRICK GOLD CORP
336,745732,ROST,"ROSS STORES, INC."
337,1575851,SXYAY,Sika AG/ADR
338,1751788,DOW,DOW INC.
339,1396282,HNNMY,H&M HENNES & MAURITZ AB
340,1448987,AHCHY,Anhui Conch Cement Co Ltd\ADR
341,10456,BAX,BAXTER INTERNATIONAL INC
342,1387438,ECIFY,ELECTRICITE DE FRANCE S.A.
343,1652630,VONOY,Vonovia SE/ADR
344,891103,MTCH,"Match Group, Inc."
345,1160330,BBD,BANK BRADESCO
346,1477449,TDOC,"Teladoc Health, Inc."
347,827054,MCHP,MICROCHIP TECHNOLOGY INC
348,718940,BCE,BCE INC
349,1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
350,1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
351,1121631,GVDNY,GIVAUDAN SA /FI
352,820313,APH,AMPHENOL CORP /DE/
353,813672,CDNS,CADENCE DESIGN SYSTEMS INC
354,1300514,LVS,LAS VEGAS SANDS CORP
355,1521332,APTV,Aptiv PLC
356,1671933,TTD,"Trade Desk, Inc."
357,932787,STM,STMicroelectronics N.V.
358,1090872,A,"AGILENT TECHNOLOGIES, INC."
359,879875,JSHLY,JARDINE STRATEGIC HOLDINGS LTD /FI
360,1093557,DXCM,DEXCOM INC
361,833444,JCI,Johnson Controls International plc
362,202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
363,1057352,CSGP,"COSTAR GROUP, INC."
364,96021,SYY,SYSCO CORP
365,1474968,GELYY,Geely Automobile Holdings Limited/ADR
366,1032208,SRE,SEMPRA ENERGY
367,1159204,MTCPY,MTR CORP LTD
368,1390777,BK,Bank of New York Mellon Corp
369,1828365,RLX,RLX Technology Inc.
370,1167379,ALC,ALCON INC
371,1058057,MRVL,MARVELL TECHNOLOGY GROUP LTD
372,1086888,MFC,MANULIFE FINANCIAL CORP
373,1113169,TROW,PRICE T ROWE GROUP INC
374,1002242,E,ENI SPA
375,40704,GIS,GENERAL MILLS INC
376,1810997,XPEV,XPENG INC.
377,1039765,ING,ING GROEP NV
378,1598014,INFO,IHS Markit Ltd.
379,1327567,PANW,Palo Alto Networks Inc
380,86312,TRV,"TRAVELERS COMPANIES, INC."
381,1611983,LBRDA,Liberty Broadband Corp
382,1384905,RNG,"RingCentral, Inc."
383,1478242,IQV,IQVIA HOLDINGS INC.
384,1071739,CNC,CENTENE CORP
385,76334,PH,PARKER HANNIFIN CORP
386,1660134,OKTA,"Okta, Inc."
387,26172,CMI,CUMMINS INC
388,1408198,MSCI,MSCI Inc.
389,1335730,MFG,MIZUHO FINANCIAL GROUP INC
390,72903,XEL,XCEL ENERGY INC
391,1466258,TT,Trane Technologies plc
392,1495687,CHCJY,China CITIC Bank Corp Limited/ADR/
393,723254,CTAS,CINTAS CORP
394,1448817,OVCHY,Oversea-Chinese Banking Corp / ADR
395,899866,ALXN,"ALEXION PHARMACEUTICALS, INC."
396,1127055,VIVHY,VIVENDI
397,948696,HCMLY,LafargeHolcim Ltd/ADR
398,1279967,CRARY,CREDIT AGRICOLE S A
399,1554394,LGFRY,Longfor Group Holdings Limited/ADR
400,1783180,CARR,Carrier Global Corp
401,1087423,RHT,RED HAT INC
402,1359519,SVNDY,SEVEN & I HOLDINGS CO LTD
403,743988,XLNX,XILINX INC
404,849395,CRH,CRH PUBLIC LTD CO
405,1627168,PDYPY,Paddy Power plc/ADR
406,899051,ALL,ALLSTATE CORP
407,1453056,CMAKY,"China Minsheng Banking Corp., Ltd."
408,79879,PPG,PPG INDUSTRIES INC
409,1617640,ZG,"ZILLOW GROUP, INC."
410,1160106,LYG,Lloyds Banking Group plc
411,1294325,CLPBY,COLOPLAST A/S
412,1123799,WIT,WIPRO LTD
413,312069,BCS,BARCLAYS PLC
414,813828,VIAC,ViacomCBS Inc.
415,5272,AIG,AMERICAN INTERNATIONAL GROUP INC
416,723531,PAYX,PAYCHEX INC
417,1491703,SCHYY,Sands China Ltd. /ADR
418,1159510,CS,CREDIT SUISSE GROUP AG
419,4977,AFL,AFLAC INC
420,1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
421,1093691,PLUG,PLUG POWER INC
422,1506307,KMI,"KINDER MORGAN, INC."
423,898173,ORLY,O REILLY AUTOMOTIVE INC
424,75362,PCAR,PACCAR INC
425,1013462,ANSS,ANSYS INC
426,47217,HPQ,HP INC
427,1651308,BGNE,"BeiGene, Ltd."
428,1038143,ORAN,ORANGE
429,1137774,PRU,PRUDENTIAL FINANCIAL INC
430,1041061,YUM,YUM BRANDS INC
431,1260221,TDG,TransDigm Group INC
432,1561550,DDOG,"Datadog, Inc."
433,1034054,SBAC,SBA COMMUNICATIONS CORP
434,87347,SLB,SCHLUMBERGER LIMITED/NV
435,103379,VFC,V F CORP
436,4127,SWKS,"SKYWORKS SOLUTIONS, INC."
437,1339422,RDSMY,Royal DSM N.V.
438,1446390,ALPMY,Astellas Pharma Inc
439,1483994,HTHT,Huazhu Group Ltd
440,1063761,SPG,SIMON PROPERTY GROUP INC /DE/
441,1437147,DBOEY,Deutsche Boerse
442,1446437,YAHOY,Yahoo! Japan Corp
443,1755672,CTVA,"Corteva, Inc."
444,842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
445,1132924,CHT,CHUNGHWA TELECOM CO LTD
446,1442145,VRSK,"Verisk Analytics, Inc."
447,47111,HSY,HERSHEY CO
448,72741,ES,EVERSOURCE ENERGY
